MANGA,CHAPTER,DATE,TIME
ONE PIECE,1080,7 Apr 2023,10:06
ONE PIECE,1081,20 Apr 2023,02:52
ONE PIECE,1083,10 May 2023,13:52
ONE PIECE,1084,17 May 2023,18:59
ONE PIECE,1085,31 May 2023,22:50
ONE PIECE,1086,7 Jun 2023,16:09
ONE PIECE,1087,15 Jul 2023, 18:57
ONE PIECE,1089,2 Aug 2023,20:23
ONE PIECE,1092,15 Sept 2023,17:14
ONE PIECE,1093,21 Sept 2023,19:36
ONE PIECE,1094,5 Oct 2023,12:36
ONE PIECE,1095,12 Oct 2023,16:47
ONE PIECE,1096,25 Oct 2023,19:53
ONE PIECE,1097,1 Nov 2023,22:19
ONE PIECE,1098,9 Nov 2023,04:58
ONE PIECE,1101,13 Dec 2023,07:23
ONE PIECE,1102,21 Dec 2023,18:03
ONE PIECE,1103,27 Dec 2023,18:17
ONE PIECE,1104,18 Jan 2024,18:35
ONE PIECE,1105,25 Jan 2024,23:34
ONE PIECE,1106,1 Feb 2024,13:22
ONE PIECE,1107,16 Feb 2024,02:32
ONE PIECE,1108,22 Feb 2024,15:28
ONE PIECE,1109,1 Mar 2024,13:47
ONE PIECE,1110,15 Mar 2024,20:28
ONE PIECE,1111,22 Mar 2024,22:57
JUJUTSU KAISEN,256,12 Apr 2024,19:11
ONE PIECE,1112,19 Apr 2024,18:51
JUJUTSU KAISEN,257,20 Apr 2024,17:00
ONE PIECE,1113,26 Apr 2024,17:45
JUJUTSU KAISEN,258,26 Apr 2024,17:45
ONE PIECE,1116,30 May 2024,17:54
ONE PIECE,1117,13 Jun 2024,22:11
JUJUTSU KAISEN,262, 16 Jun 2024,14:16
ONE PIECE,1118,20 Jun 2024,17:06
ONE PIECE,1119,28 Jun 2024,03:43
JUJUTSU KAISEN,262.5,6 Jul 2024,10:41
ONE PIECE,1120,11 Jul 2024,23:29
JUJUTSU KAISEN,263,13 Jul 2024,10:42
ONE PIECE,1121,19 Jul 2024,07:49
JUJUTSU KAISEN,264,26 Jul 2024,09:04
ONE PIECE,1122,2 Aug 2024,06:09
JUJUTSU KAISEN,265,2 Aug 2024,06:09
ONE PIECE, 1123, 16 Aug 2024, 08:07
JUJUTSU KAISEN, 266,17 Aug 2024,11:51
